year,county_name,state,.dec_2000_total_occupied,.dec_2000_total_renter_occupied,.dec_2000_total_vacant,.dec_2000_total_pop_occupied,.dec_2000_total_pop_renter_occupied,.dec_2000_total_pop,.dec_2000_avg_household_size,.dec_2000_median_age,.dec_2000_median_income,state_county,.acs_2010_total_pop,.acs_2010_total_pop_occupied,.acs_2010_total_pop_renter_occupied,.acs_2010_total_vacant,.acs_2010_median_income,.acs_2010_median_age,.acs_2020_total_pop,.acs_2020_total_pop_occupied,.acs_2020_total_pop_renter_occupied,.acs_2020_total_vacant,.acs_2020_median_income,.acs_2020_median_age
2023,Kent County,DE,47224,35256,3257,123067,824,126697,2.61,34.4,46504,10001,156918,113303,25749,6167,27083,41.2,179124,119547,41068,5774,31120,41.2
2023,New Castle County,DE,188935,129375,10586,482751,5076,500265,2.56,35,62144,10003,533514,374881,89455,17322,31302,41.6,558306,379744,121033,14811,36961,42.7
2023,Sussex County,DE,62577,31467,30493,153199,309,156638,2.45,41.1,45203,10005,190846,144495,30827,43738,25902,44.6,230249,179203,37473,46900,32660,46.8
2023,District of Columbia,DC,248338,302569,26507,536497,9335,572059,2.16,34.6,46283,11001,584400,246202,214644,36175,35264,37.7,701974,295724,274249,30885,52328,36.5
2023,Alachua County,FL,87509,84366,7604,205107,4434,217955,2.34,29,46587,12001,244247,129198,55666,13462,21204,37.3,268105,142454,73653,16882,26526,36.6
2023,Baker County,FL,7043,3553,549,20154,11,22259,2.86,34,43503,12003,26548,18326,3074,1133,23061,41.4,28679,19818,3938,1277,30176,40.7
2023,Bay County,FL,59597,43602,18838,144873,761,148217,2.43,37.4,42729,12005,166798,105655,30704,29484,25670,41.4,180076,118433,36646,30524,29769,42.2
2023,Bradford County,FL,8497,4442,1108,21933,43,26088,2.58,37.2,39123,12007,28750,19178,3767,1894,21233,43.6,27723,15413,6604,1743,25122,41.2
2023,Brevard County,FL,198195,112101,23877,466535,1860,476230,2.35,41.4,47571,12009,540583,408062,74461,46165,25686,44.9,594001,442970,104694,44643,29652,45.2
2023,Broward County,FL,654445,469653,86598,1603094,9850,1623018,2.45,37.8,50531,12011,1734139,1186498,327174,137960,27170,42.7,1942273,1201782,542789,121440,31010,43.7
2023,Calhoun County,FL,4468,2329,782,11297,33,13017,2.53,36.2,32848,12013,14372,9240,2052,1127,16577,40.2,14324,9615,1943,1500,23162,44.1
2023,Charlotte County,FL,63864,23728,15894,139035,226,141627,2.18,54.3,42653,12015,159385,125463,16391,27431,23895,47.4,185926,146435,26442,26068,26947,49.2
2023,Citrus County,FL,52634,17273,9570,115924,209,118085,2.2,52.6,36711,12017,140686,115397,14779,16839,19674,46.5,147938,118666,20314,15601,25559,47.4
2023,Clay County,FL,50243,28806,3505,139247,564,140814,2.77,35.9,53814,12019,186076,145132,21437,6306,30523,42.2,215294,163622,32993,6369,32871,43.4
2023,Collier County,FL,102973,66605,41563,246587,587,251377,2.39,44.1,54816,12021,316931,228376,56307,75012,28176,44,379345,263068,80167,70371,32201,46
2023,Columbia County,FL,20925,11676,2654,53586,82,56513,2.56,37.3,35927,12023,66964,44898,10191,3816,21137,43.8,70898,47420,12520,3950,25919,41.9
2023,DeSoto County,FL,10746,9091,2862,28980,36,32209,2.7,36.5,34726,12027,34557,22586,6153,3830,18049,40.1,37371,23559,8629,2886,21518,38.5
2023,Dixie County,FL,5205,1836,2157,12720,5,13827,2.44,40.7,31157,12029,16196,12062,2403,4124,17343,44.5,16740,12772,1993,3266,23446,44.5
2023,Duval County,FL,303747,260002,26031,763204,6109,778879,2.51,34.1,47689,12031,854848,542727,170426,53284,26977,40.3,948651,541695,263988,43380,31453,40.1
2023,Escambia County,FL,111049,87218,13598,272444,1678,294410,2.45,35.4,41708,12033,297940,186975,52647,22838,21995,40.4,316691,190355,74470,20287,27315,38.8
2023,Flagler County,FL,21294,8258,3158,49370,82,49832,2.32,50.4,45502,12035,91806,70840,14316,10973,25032,45.1,112854,82475,23751,8776,28000,46
2023,Franklin County,FL,4096,1851,3084,9339,6,11057,2.28,40.8,31157,12037,11470,6589,2222,3881,20476,46.3,11914,7750,1889,4073,25076,45.4
2023,Gadsden County,FL,15867,9740,1836,42665,59,45087,2.69,35.5,36238,12039,46031,28833,10847,2946,21276,45.5,45787,30554,9549,3420,25421,44.5
2023,Gilchrist County,FL,5021,1822,885,13116,0,14437,2.61,35.4,34485,12041,16683,12535,1673,1179,20222,42.8,18245,14052,1948,906,23568,42.5
2023,Glades County,FL,3852,2012,1938,9666,9,10576,2.51,40.2,34223,12043,12617,8681,2413,2654,19470,42.8,13777,9486,2465,2240,22679,44.3
2023,Gulf County,FL,4931,2242,2656,11935,15,13332,2.42,40.3,36289,12045,15879,10030,2331,3635,21637,46.3,15073,9262,1818,3781,29336,46.9
2023,Hamilton County,FL,4161,2480,805,10826,5,13327,2.6,35.1,30677,12047,14696,8411,2029,1149,17765,45.7,14397,8116,2475,1456,21218,43.4
2023,Hardee County,FL,8166,7491,1654,25019,23,26938,3.06,32.7,32487,12049,27521,17942,5114,2117,16570,37.8,27027,16462,7284,1795,23234,39.3
2023,Hendry County,FL,10850,9887,1444,33488,47,36210,3.09,29.5,34902,12051,39030,23107,6969,3068,17131,39.7,41472,27487,9699,2054,22669,41.4
2023,Hernando County,FL,55425,18381,7302,128693,162,130802,2.32,49.5,37509,12053,170337,137358,17518,12704,22198,44.5,190700,147162,31142,11053,25692,43
2023,Highlands County,FL,37471,19772,11375,86047,304,87366,2.3,50,35647,12055,98807,74941,14611,14463,18749,44.4,104574,74946,20409,13198,23333,44.6
2023,Hillsborough County,FL,391357,321122,34605,981521,7537,998948,2.51,35.1,48223,12057,1200236,771899,240980,63569,26349,40.5,1451358,869679,387279,50795,31269,40.7
