year,state_county,yrly_new_props,cur_props,.dec_2000_total_occupied,.dec_2000_total_renter_occupied,.dec_2000_total_vacant,.dec_2000_total_pop_occupied,.dec_2000_total_pop_renter_occupied,.dec_2000_total_pop,.dec_2000_avg_household_size,.dec_2000_median_age,.dec_2000_median_income,.acs_2010_total_pop,.acs_2010_total_pop_occupied,.acs_2010_total_pop_renter_occupied,.acs_2010_total_vacant,.acs_2010_median_income,.acs_2010_median_age,.acs_2020_total_pop,.acs_2020_total_pop_occupied,.acs_2020_total_pop_renter_occupied,.acs_2020_total_vacant,.acs_2020_median_income,.acs_2020_median_age
1975,01003,0,0,55336,25946,18949,138141,142,140415,2.5,39,47028,175791,132421,22247,31617,24896,43,218289,168696,35831,32700,30558,43.7
1975,01073,0,0,263265,196390,24897,645934,2913,662047,2.45,36,45951,656912,438205,125688,39742,24572,41.3,658615,420055,155084,45024,30328,41.1
1975,01081,0,0,45702,36246,4627,110625,976,115092,2.42,27.5,46781,135010,86863,23476,6523,20997,37.2,163461,104496,35759,9525,26380,38.6
1975,01089,0,0,109955,71562,10333,269442,1673,276700,2.45,35.7,54360,323080,229394,51845,14919,27434,41.9,367686,253934,66653,12472,34448,42.4
1975,01097,0,0,150179,114178,14922,391775,2216,399843,2.61,34.4,40378,408620,277806,85307,22451,21219,41.5,413977,265768,108740,26764,26718,41.4
1975,01117,0,0,54631,21783,4671,141618,340,143293,2.59,34.9,64105,187880,151563,18339,7001,33737,41.4,216350,173688,26402,7334,38721,42.8
1975,04013,0,0,1132886,935341,117345,3027366,19268,3072149,2.67,33,51827,3751410,2455006,696464,214163,29318,39.7,4412779,2774692,1120478,169096,34032,40.6
1975,04019,0,0,332350,268332,34387,821712,6475,843746,2.47,35.7,44446,964462,620612,177488,53512,24252,41.3,1038476,658573,227610,52294,28683,40.2
1975,04021,0,0,61364,40608,19790,164497,182,179727,2.68,37.1,39548,329297,227329,42216,30675,26759,40.3,447559,313104,77474,29498,30021,41.6
1975,06001,3,3,523366,596975,16817,1416006,108058,1443741,2.71,34.5,65857,1477980,845723,424243,45512,32912,41.1,1661584,910901,573771,32593,45882,41.2
1975,06013,0,0,344129,273927,10448,937479,26038,948816,2.72,36.4,73039,1024809,708752,199710,28695,36383,43.2,1147788,758162,297547,16768,43768,43.7
1975,06037,0,0,3133774,4654845,137135,9344086,474146,9519338,2.98,32,46452,9758256,4869411,3674697,207847,25094,40.1,10040682,4805674,4306048,227286,31048,40.8
1975,06041,0,0,100650,80929,4340,235803,4034,247289,2.34,41.3,88934,248601,157361,59016,7803,42591,46.9,259441,162962,68233,7419,55546,48.9
1975,06053,0,0,121236,175207,10472,380786,8784,401762,3.14,31.7,51169,407435,202380,133845,13870,24350,39.7,432977,205673,175034,13907,30484,40.6
1975,06055,0,0,45402,42885,3152,119046,688,124279,2.62,38.3,61410,134051,82828,31953,5127,31367,42.8,138572,85552,39936,6855,38721,44.2
1975,06059,1,1,935287,1101536,34197,2803924,144127,2846289,3,33.3,64611,2965525,1771018,805187,57751,31577,41.1,3170345,1766470,1078447,61243,37499,42.5
1975,06061,0,0,93382,60445,13920,245511,1419,248399,2.63,38,65858,336477,248649,51359,20035,35801,42.7,391799,288811,71461,20369,42751,43.9
1975,06065,0,0,506218,467066,78456,1511034,16278,1545387,2.98,33.1,48409,2109464,1435711,400567,116210,25673,40.4,2437864,1612532,625205,108653,30279,40.9
1975,06067,1,1,453602,482318,21212,1198004,55120,1223499,2.64,33.8,50717,1395144,822679,327932,43486,28281,40.5,1537948,880470,481792,25397,34013,40.5
1975,06071,0,0,528594,578602,72775,1664402,23041,1709434,3.15,30.3,46574,2005287,1277035,443739,95196,24959,39.7,2162532,1263630,674705,81286,28611,39.6
1975,06073,2,2,994677,1186350,45472,2716820,95547,2813833,2.73,33.2,53438,3022468,1647521,876167,93085,30093,39.6,3323970,1770437,1115281,84825,36028,39.6
1975,06075,0,0,329700,441692,16827,756976,103093,776733,2.3,36.5,63545,789172,337354,336655,36604,35640,38.3,874784,371431,384361,36472,54549,37.8
1975,06077,0,0,181629,220112,7531,544827,30499,563598,3,31.9,46919,673613,397218,165002,18209,24660,40.6,751615,420735,249744,14100,30974,40.6
1975,06081,0,0,254103,254197,6473,696711,42296,707161,2.74,36.8,80737,704327,433436,191526,14281,39036,42.5,765623,461152,228795,15405,51281,42.6
1975,06083,0,0,136622,171201,6279,382730,6992,399347,2.8,33.4,54042,416051,207276,123494,10588,24924,39.9,444895,214506,156455,11008,31556,39.7
1975,06085,2,2,565863,635706,13466,1652871,156024,1682585,2.92,34,81717,1739396,1040192,466793,29578,37401,40.6,1924379,1087896,599757,33582,50030,41
1975,06087,0,0,91139,98464,7734,246574,2710,255602,2.71,35,61941,256901,146774,69950,10200,26321,42,273170,154385,82214,9544,34883,42.5
1975,06095,0,0,130403,127279,4110,378568,12026,394542,2.9,33.9,60597,410042,260339,88747,12605,31536,42,444538,269091,127914,7864,37621,41.6
1975,06097,0,0,172403,159118,10750,447512,4891,458614,2.6,37.5,61921,474047,286378,125483,18635,30872,43.4,496801,296790,150543,17540,38515,43.9
1975,06099,0,0,145146,167543,5661,439508,8102,446997,3.03,31.7,44703,509682,310356,119975,13750,23025,40.1,546235,315399,182170,7413,29085,40.2
1975,06111,1,1,243234,242548,8478,739985,10331,753197,3.04,34.2,65285,809080,527351,190153,15093,30637,42,845599,519219,261140,17786,35064,42.7
1975,06113,0,0,59375,74273,2212,161145,9705,168660,2.71,29.5,51623,196418,102563,48973,4561,25718,39,218774,107772,71557,3951,31781,38.7
1975,08001,0,0,128156,101568,4438,360443,2753,363857,2.81,31.4,52517,425330,287769,79673,13809,28772,38.8,509844,341018,115461,6149,35405,39.2
1975,08005,0,0,190909,136259,5926,483120,5446,487967,2.53,34.5,63875,552860,369037,108790,15610,32068,41.6,649980,423795,146174,10946,39611,41.2
1975,08013,0,0,114680,90136,5220,282775,3206,291288,2.47,33.4,70572,290177,186586,47102,8139,30003,40.9,324682,202393,62365,8044,38758,41
1975,08031,0,0,239235,239152,12200,541917,7914,554636,2.27,33.1,48195,578087,311076,155107,27115,27454,37.1,715878,374194,226485,18513,40997,36.5
1975,08035,0,0,60924,17244,2409,175300,310,175766,2.88,33.7,88482,273440,228865,21725,4524,47966,42.2,344280,280290,36942,4394,52391,44.2
1975,08041,0,0,192409,163187,10019,501533,4315,516929,2.61,33,53995,599988,399108,94796,21691,28401,40.6,710499,461764,140850,13758,34407,38.7
1975,08059,0,0,206067,125862,6421,519326,2836,527056,2.52,36.8,67310,528614,384648,77930,11933,34104,43.8,578795,416931,103056,8782,42400,42.1
1975,08069,0,0,97164,72037,8228,244374,1502,251494,2.52,33.2,58866,291162,196072,43475,13204,26593,40.5,350523,230828,68885,10398,33757,39.1
1975,09001,0,0,324232,242954,15234,864591,10770,882567,2.67,37.3,77690,905342,644948,174719,26350,35421,43.9,944306,636361,218684,29259,41747,45.2
1975,09003,0,0,335098,265569,17924,830338,8176,857183,2.48,37.7,62144,887976,596242,187893,24173,31501,43.4,892153,583633,218800,26730,38717,43.3
1975,09005,0,0,71551,36668,7716,179682,633,182193,2.51,39.6,66445,189916,154198,24091,9919,34269,45.7,181143,142590,27988,13460,39349,47.7
1975,09007,0,0,61341,34116,5944,148844,892,155071,2.43,38.6,71319,164774,125074,21785,7046,37863,44.7,162742,120938,26202,8684,43449,46.3
