Market,"Owner/Operator, Franchise",ADDRESS,CTY,ST,Zip,Area,Year
Albuquerque,Extra Space Storage,1522 Pacheco Street,Santa Fe,NM,87505,73934,2000
Albuquerque,Extra Space Storage,1909 Golf Course Road SE,Rio Rancho,NM,87124,72836,2000
Albuquerque,Extra Space Storage,3300 Calle Cuervo NW,Albuquerque,NM,87114,80889,1998
Albuquerque,Extra Space Storage,9831 Montgomery Blvd NE,Albuquerque,NM,87111,62697,1997
Albuquerque,Extra Space Storage,9221 Eagle Ranch Road NW,Albuquerque,NM,87114,60821,1998
Albuquerque,Extra Space Storage,6917 Montgomery Blvd NE,Albuquerque,NM,87109,57080,1990
Albuquerque,Extra Space Storage,141 Airport Drive NW,Albuquerque,NM,87121,53164,1992
Albuquerque,Extra Space Storage,875 West San Mateo Road,Santa Fe,NM,87505,92004,2002
Albuquerque,Extra Space Storage,10340 Ellison Road NW,Albuquerque,NM,87114,65248,1993
Albuquerque,Extra Space Storage,11820 Lomas Blvd NE,Albuquerque,NM,87112,42565,1993
Albuquerque,Extra Space Storage,1200 Legion Road NE,Albuquerque,NM,87102,48436,1985
Albuquerque,Extra Space Storage,900 West San Mateo Road,Santa Fe,NM,87505,72967,1972
Albuquerque,Extra Space Storage,4801 San Mateo Blvd NE,Albuquerque,NM,87109,76500,1973
Albuquerque,Extra Space Storage,11930 Central Avenue SE,Albuquerque,NM,87123,54029,1974
Albuquerque,Extra Space Storage,201 Eubank Blvd SE,Albuquerque,NM,87123,75330,1984
Allentown-Bethlehem,Extra Space Storage,911 County Road 517,Hackettstown,NJ,07840,87600,2006
Atlanta - Suburban,Extra Space Storage,2350 Ronald Reagan Pkwy,Snellville,GA,30078,101642,2017
Atlanta - Suburban,Extra Space Storage,530 Athens Hwy,Loganville,GA,30052,79596,1985
Atlanta - Suburban,Extra Space Storage,2920 Buford Drive,Buford,GA,30519,107958,2018
Atlanta - Suburban,Extra Space Storage,1605 Old Alabama Road,Roswell,GA,30076,68800,2015
Atlanta - Suburban,Extra Space Storage,840 Scenic Hwy,Lawrenceville,GA,30045,106544,2018
Atlanta - Suburban,Extra Space Storage,3240 Sixes Road,Canton,GA,30114,99213,2018
Atlanta - Suburban,Extra Space Storage,735 Hambrick Road,Stone Mountain,GA,30083,87374,1987
Atlanta - Suburban,Extra Space Storage,11640 Jones Bridge Road,Alpharetta,GA,30005,126063,2002
Atlanta - Suburban,Extra Space Storage,6260 Abbotts Bridge Road,Duluth,GA,30097,77354,2003
Atlanta - Suburban,Extra Space Storage,6780 Roswell Road,Sandy Springs,GA,30328,100890,2010
Atlanta - Suburban,Extra Space Storage,8337 Tara Blvd,Jonesboro,GA,30236,104500,2002
Atlanta - Suburban,Extra Space Storage,3360 Dogwood Lane,Acworth,GA,30101,117847,1997
Atlanta - Suburban,Extra Space Storage,2890 Cobb Pkwy NW,Kennesaw,GA,30152,51000,2006
Atlanta - Suburban,Extra Space Storage,4105 George Busbee Pkwy NW,Kennesaw,GA,30144,95904,2006
Atlanta - Suburban,Extra Space Storage,1419 Cobb Pkwy North,Marietta,GA,30062,58210,2005
Atlanta - Suburban,Extra Space Storage,855 North Main Street,Alpharetta,GA,30009,68171,2000
Atlanta - Suburban,Extra Space Storage,5151 Annistown Road,Stone Mountain,GA,30087,76610,1998
Atlanta - Suburban,Extra Space Storage,5097 Dallas Hwy,Powder Springs,GA,30127,99972,2007
Atlanta - Suburban,Extra Space Storage,1897 West Oak Pkwy,Marietta,GA,30062,96612,2007
Atlanta - Suburban,Extra Space Storage,2329 Panola Road,Lithonia,GA,30058,135037,2008
Atlanta - Suburban,Extra Space Storage,2619 Austell Road SW,Marietta,GA,30008,65125,1997
